asks,bids,number_of_transaction,time_between_block,Avg_Bitcoin_network_hashrate,Block size votes,Blockchain blocks size,Bid-ask spread,trade_per_minutes,price,signal
739056.096,2426374.76,168407,8.473529412,3.93935E+18,170,416650.1412,0.070335981,16.09743056,8204.132797,-1
726113.0737,2350028.388,230924,10.71057214,3.61476E+18,134,727349.0821,0.066868867,31.14131944,8132.220099,-1
610362.3621,2286555.056,242977,9.817346939,3.94364E+18,147,765695.3129,0.058620959,35.48006944,7916.503095,-1
475531.5178,2215791.775,241044,9.595111111,4.43848E+18,150,822069.74,0.06129096,32.96548611,7573.941276,1
481908.0543,2228962.545,224873,9.459477124,4.50212E+18,152,640955.7974,0.06609703,25.62895833,7602.000989,-1
458688.6523,2135429.508,229859,8.603815261,4.94987E+18,164,656121.5361,0.060549752,32.13013889,7395.24443,-1
458214.6276,2078859.176,191657,8.073958333,5.2747E+18,176,456584.267,0.065229364,28.84138889,7252.448254,-1
480845.5867,2039631.834,172181,9.203854167,4.62716E+18,160,467702.7813,0.061101619,22.71986111,6995.084915,-1
481560.0634,2033497.122,221002,11.02878788,4.29056E+18,131,822882.0076,0.061955148,28.17673611,6989.105534,-1
479366.5837,2021779.054,233045,9.519646799,4.47367E+18,150,819273.2185,0.059425195,35.71888889,6986.476787,-1
456886.1918,1876338.946,235311,9.182802548,4.21616E+18,157,640897.879,0.061632406,47.58569444,6446.714155,-1
474376.5379,1877439.117,222326,9.681096197,3.99915E+18,149,647505.396,0.062709212,32.19513889,6392.71756,1
471153.9286,1796259.555,226148,8.209469697,4.71603E+18,176,644668.2045,0.148489671,37.836875,6395.227504,-1
480692.4572,1836114.326,192438,8.378431373,5.88361E+18,170,496766.9529,0.090887636,33.81861111,6184.681834,1
503937.1896,1851127.278,165044,9.297526882,4.47201E+18,155,474670.8903,0.087227591,26.98027778,6304.076782,1
491276.0956,1888875.939,222229,9.677444444,4.72609E+18,150,735712.64,0.076995664,31.06388889,6347.051291,-1
497847.048,1775460.113,247622,10.55894608,4.33154E+18,136,803302.1838,0.074787724,42.38736111,6058.047031,1
